game_id,total_incercari,cuvant_gasit,status,secventa_incercari
﻿1,21,ICONOGRAFĂ,OK,E I N U T C Ă S L O D M P V Ș F Â Î Ț B G
2,21,FAGOCITUL,OK,E I R N U T Ă S L O D M P V Ș F Â Î Ț B G
3,11,APICOLILOR,OK,E I A R N U T Ă S L O
4,23,HIPOPLAZII,OK,E I A R N U T C Ă S L D M P V Ș F Â Î Ț B G Z
5,14,PROHODI,OK,E I A R N U T C Ă S L D M P
6,11,CIOPLEA,OK,E I A R N U T C Ă S O
7,17,COVÂRȘITELOR,OK,E A R N U T C Ă S L O D M P Ș F Â
8,21,PÂRGUIRILE,OK,E I A R N T C Ă S L O D M V Ș F Â Î Ț B G
9,23,BURGHIERILE,OK,I A N U T C Ă S L O D M P V Ș F Â Î Ț B G Z H
10,14,SAMAVOLNICII,OK,E A R N U T C Ă S L O D P V
11,15,CĂȘĂIEȘTE,OK,E I A R N U C S L O D M P V Ș
12,9,SISALUL,OK,E I R N U T C Ă L
13,9,CINERARIILE,OK,E I N U T C Ă S L
14,22,DEZAGLOMERĂM,OK,E I N U T C Ă S L O D M P V Ș F Â Î Ț B G Z
15,11,TETRODĂ,OK,E I A N U T C S L O D
16,24,MÂNJITURII,OK,E I A N T C Ă S L O D M P V Ș F Â Î Ț B G Z H J
17,12,DESOFISTICĂRII,OK,I A R N U T C Ă S L O D
18,7,TĂIERI,OK,E I A N U C Ă
19,21,GENTILEȚILOR,OK,E A R N U T C Ă S O D M P V Ș F Â Î Ț B G
20,10,NENOROCITUL,OK,E A R N U T Ă S L O
21,18,ÎNAINTĂ,OK,E A R N U C Ă S L O D M P V Ș F Â Î
22,12,ISTMICUL,OK,E I A R N T C Ă S O D M
23,23,ASCUȚITUNGHICUL,OK,E I A R N T Ă S L O D M P V Ș F Â Î Ț B G Z H
24,20,OBNUBILĂRILOR,OK,E I A R N U T C S L D M P V Ș F Â Î Ț B
25,20,BUMBĂCELULUI,OK,E I A R N U T S L O D M P V Ș F Â Î Ț B
26,14,POSTĂVĂRIILE,OK,E I A N U T C S L O D M P V
27,22,CENTROZOMUL,OK,I A R N U T C Ă S O D M P V Ș F Â Î Ț B G Z
28,20,DEBAVURASE,OK,E I A R N T C Ă L O D M P V Ș F Â Î Ț B
29,19,VRAMIȚE,OK,E A R N U T C Ă S L O D M P Ș F Â Î Ț
30,10,RETORI,OK,E A R N U C Ă S L O
31,13,EPISTOLARELOR,OK,E A R N U T C Ă S O D M P
32,21,ÎNCHIABUREAȚI,OK,E I A R N U T C Ă S L O D M P V Ș F Â Î Ț
33,12,LAMINATOAREA,OK,I A R N U T C Ă S O D M
34,14,PLATINEZ,OK,I A R N U T C Ă S L O D M P
35,19,ȚĂNDĂRELEI,OK,E I A N U T C Ă S L O M P V Ș F Â Î Ț
36,14,TEVATURI,OK,E I N U T C Ă S L O D M P V
37,19,FIDANȚATA,OK,E I A R N U T C Ă S L O M P V Ș Â Î Ț
38,25,EXONDĂRILE,OK,I A R N U T C Ă S O D M P V Ș F Â Î Ț B G Z H J X
39,12,DECOMANDATĂ,OK,E I R N U T C Ă S L O D
40,21,OMAGIALI,OK,E I A R N U T C Ă S O D P V Ș F Â Î Ț B G
41,17,STÂLPISEM,OK,I A R N U T C Ă S L O D M V Ș F Â
42,16,ELFILOR,OK,I A R N U T C Ă S O D M P V Ș F
43,11,DECONCERTANTELE,OK,E I R N U T Ă S L O D
44,21,GAGICULUI,OK,E A R N T C Ă S L O D M P V Ș F Â Î Ț B G
45,13,APELARĂM,OK,E I R N U T C Ă S O D M P
46,14,SPERMATOFITELOR,OK,E I A R N U T C Ă S L D M P
47,15,NECREDINCIOȘILOR,OK,E I A N U T C Ă S L D M P V Ș
48,19,CINSTEȚUL,OK,E I A R N U C Ă L O D M P V Ș F Â Î Ț
49,19,NEOFORMAȚIUNII,OK,E I A N U T C Ă S L D M P V Ș F Â Î Ț
50,14,PEGMATITUL,OK,E I A R N U T C Ă S L O D M
51,15,PLUTUIEȘTE,OK,I A R N U C Ă S L O D M P V Ș
52,22,CINTEZII,OK,A R N U T C Ă S L O D M P V Ș F Â Î Ț B G Z
